date,price ($/MWh)
5/2/2021 18:25,31.64019
5/2/2021 18:30,32.73608
5/2/2021 18:35,36.382723
5/2/2021 18:40,41.781706
5/2/2021 18:45,41.920853
5/2/2021 18:50,48.10363
5/2/2021 18:55,69.271693
5/2/2021 19:00,37.121296
5/2/2021 19:05,35.317936
5/2/2021 19:10,38.009903
5/2/2021 19:15,40.16831
5/2/2021 19:20,42.463863
5/2/2021 19:25,43.799936
5/2/2021 19:30,45.75624
5/2/2021 19:35,50.366803
5/2/2021 19:40,62.82273
5/2/2021 19:45,62.37344
5/2/2021 19:50,61.373756
5/2/2021 19:55,54.20999
5/2/2021 20:00,41.41069
5/2/2021 20:05,39.062276
5/2/2021 20:10,38.233366
5/2/2021 20:15,38.16616
5/2/2021 20:20,39.37326
5/2/2021 20:25,39.69409
5/2/2021 20:30,39.60007
5/2/2021 20:35,38.383233
5/2/2021 20:40,37.62629
5/2/2021 20:45,37.28039
5/2/2021 20:50,36.715993
5/2/2021 20:55,34.943023
5/2/2021 21:00,41.682836
5/2/2021 21:05,40.355706
5/2/2021 21:10,39.218456
5/2/2021 21:15,36.343963
5/2/2021 21:20,35.32632
5/2/2021 21:25,33.871616
5/2/2021 21:30,33.63551
5/2/2021 21:35,33.619173
5/2/2021 21:40,33.619173
5/2/2021 21:45,32.051306
5/2/2021 21:50,31.411473
5/2/2021 21:55,31.430093
5/2/2021 22:00,35.77187
5/2/2021 22:05,35.6251
5/2/2021 22:10,33.567756
5/2/2021 22:15,31.531723
5/2/2021 22:20,31.334476
5/2/2021 22:25,31.13345
5/2/2021 22:30,30.264166
5/2/2021 22:35,28.545553
5/2/2021 22:40,27.99541
5/2/2021 22:45,27.928023
5/2/2021 22:50,26.8531
5/2/2021 22:55,26.063576
5/2/2021 23:00,28.304743
5/2/2021 23:05,28.188653
5/2/2021 23:10,28.1773
5/2/2021 23:15,28.037583
5/2/2021 23:20,27.608103
5/2/2021 23:25,26.851856
5/2/2021 23:30,26.769176
5/2/2021 23:35,26.158146
5/2/2021 23:40,25.454486
5/2/2021 23:45,25.082623
5/2/2021 23:50,24.60636
5/2/2021 23:55,24.68198
5/3/2021 0:00,29.241306
5/3/2021 0:05,30.212786
5/3/2021 0:10,30.750506
5/3/2021 0:15,30.481513
5/3/2021 0:20,30.395716
5/3/2021 0:25,30.30115
5/3/2021 0:30,30.042376
5/3/2021 0:35,29.64553
5/3/2021 0:40,29.64553
5/3/2021 0:45,28.2824
5/3/2021 0:50,28.1904
5/3/2021 0:55,28.1312
5/3/2021 1:00,28.46
5/3/2021 1:05,28.5804
5/3/2021 1:10,28.71616
5/3/2021 1:15,29.64058
5/3/2021 1:20,29.591696
5/3/2021 1:25,29.64058
5/3/2021 1:30,29.756783
5/3/2021 1:35,29.756783
5/3/2021 1:40,29.756913
5/3/2021 1:45,29.709543
5/3/2021 1:50,29.8365
5/3/2021 1:55,29.836096
5/3/2021 2:00,29.88385
5/3/2021 2:05,30.294373
5/3/2021 2:10,30.481933
5/3/2021 2:15,30.970616
5/3/2021 2:20,30.591396
5/3/2021 2:25,30.988746
5/3/2021 2:30,30.859913
5/3/2021 2:35,30.3155
5/3/2021 2:40,30.44308
5/3/2021 2:45,29.919386
5/3/2021 2:50,29.26957
5/3/2021 2:55,29.26957
5/3/2021 3:00,27.952213
5/3/2021 3:05,27.983226
5/3/2021 3:10,28.01367
5/3/2021 3:15,28.548726
5/3/2021 3:20,28.548726
5/3/2021 3:25,29.060583
5/3/2021 3:30,29.59821
5/3/2021 3:35,30.238306
5/3/2021 3:40,30.30931
5/3/2021 3:45,30.763043
5/3/2021 3:50,30.782526
5/3/2021 3:55,30.673456
5/3/2021 4:00,31.24824
5/3/2021 4:05,30.680023
5/3/2021 4:10,31.176253
5/3/2021 4:15,31.8312
5/3/2021 4:20,32.12751
5/3/2021 4:25,32.4688
5/3/2021 4:30,32.35685
5/3/2021 4:35,33.827073
5/3/2021 4:40,34.941176
5/3/2021 4:45,35.341776
5/3/2021 4:50,36.11763
5/3/2021 4:55,37.137823
5/3/2021 5:00,34.832493
5/3/2021 5:05,33.762883
5/3/2021 5:10,33.762883
5/3/2021 5:15,32.638923
5/3/2021 5:20,32.67538
5/3/2021 5:25,36.264543
5/3/2021 5:30,37.494366
5/3/2021 5:35,40.558966
5/3/2021 5:40,40.207633
5/3/2021 5:45,40.447643
5/3/2021 5:50,40.3806
5/3/2021 5:55,40.507706
5/3/2021 6:00,33.63358
5/3/2021 6:05,35.741506
5/3/2021 6:10,35.052656
